Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
public relations officer,healthcare,decreasing,moderate,114687.7,high school,17,1573,4576,39.34,59.74,usa,32.08
television production assistant,healthcare,decreasing,high,116137.46,master’s degree,20,6994,7015,90.45,94.18,canada,72.82
surgeon,transportation,decreasing,high,53663.8,high school,17,4610,349,46.16,53.06,india,43.59
clinical psychologist,education,decreasing,high,65559.22,associate degree,8,3836,7536,98.5,44.05,australia,70.7
"buyer, industrial",entertainment,decreasing,low,97707.95,associate degree,19,3744,7692,80.78,8.84,india,33.25
geochemist,finance,decreasing,low,125897.7,master’s degree,14,2633,6432,9.43,12.37,germany,51.42
"designer, jewellery",transportation,decreasing,moderate,112131.52,high school,0,224,8836,66.38,49.41,usa,28.07
psychiatrist,education,increasing,moderate,62451.48,bachelor’s degree,7,888,1424,56.65,60.73,usa,57.72
"surveyor, land/geomatics",entertainment,increasing,moderate,40789.83,associate degree,0,9761,5197,34.55,4.13,usa,41.54
health and safety inspector,finance,decreasing,high,80088.65,phd,1,2618,8552,42.17,85.67,china,32.31
hydrogeologist,transportation,decreasing,moderate,136572.76,associate degree,9,3166,1962,95.26,2.92,canada,71.56
professor emeritus,education,decreasing,low,97488.67,high school,15,6982,2981,64.6,50.43,canada,78.54
systems developer,healthcare,decreasing,high,41201.94,high school,10,4649,7882,14.39,51.91,brazil,22.4
"civil engineer, contracting",education,decreasing,low,131949.79,associate degree,10,2686,5686,55.48,60.19,china,54.35
psychotherapist,education,increasing,high,79089.3,phd,15,7630,8829,34.24,73.65,australia,31.35
economist,retail,decreasing,low,34690.02,associate degree,11,2224,4485,94.27,88.99,usa,75.8
social worker,transportation,increasing,low,48640.55,phd,9,9839,2285,84.16,86.6,usa,42.18
materials engineer,education,increasing,high,107480.14,associate degree,9,8209,9061,3.82,54.8,brazil,42.87
economist,healthcare,decreasing,low,95776.98,phd,9,9570,2719,67.1,83.0,usa,68.78
ecologist,it,decreasing,low,72609.75,high school,11,1667,1006,48.97,74.45,uk,72.09
"surveyor, mining",healthcare,increasing,low,112087.25,master’s degree,0,1719,9407,24.92,55.04,uk,33.86
"engineer, maintenance (it)",entertainment,decreasing,moderate,139712.5,master’s degree,10,170,8989,39.05,82.25,usa,24.96
"producer, television/film/video",manufacturing,decreasing,low,77192.8,bachelor’s degree,5,8599,5317,6.09,89.44,australia,68.48
building surveyor,transportation,increasing,low,62828.37,bachelor’s degree,6,4099,6401,79.93,71.86,usa,29.77
radio broadcast assistant,retail,decreasing,high,51791.67,phd,1,8219,8073,84.11,13.02,brazil,23.01
lexicographer,entertainment,increasing,low,55760.02,associate degree,12,503,1346,67.15,96.86,australia,75.13
"research officer, political party",education,decreasing,high,59454.94,high school,19,6704,5261,0.23,8.69,india,56.43
educational psychologist,finance,increasing,moderate,42488.01,associate degree,5,402,6340,51.41,83.34,usa,53.99
comptroller,it,decreasing,high,77281.53,master’s degree,5,2875,7619,18.72,2.01,canada,60.24
"lecturer, higher education",manufacturing,decreasing,high,137571.97,master’s degree,9,1122,3444,69.87,86.68,china,64.01
probation officer,finance,decreasing,high,130153.62,bachelor’s degree,18,6479,5918,5.12,50.34,india,77.22
science writer,transportation,decreasing,moderate,113793.89,master’s degree,16,7508,2627,63.25,76.79,usa,26.47
"sound technician, broadcasting/film/video",manufacturing,increasing,moderate,107858.12,associate degree,4,1568,2277,45.49,8.58,australia,29.3
exercise physiologist,manufacturing,decreasing,moderate,38098.44,phd,15,4561,9745,29.47,65.0,china,21.37
charity fundraiser,entertainment,increasing,high,89396.08,phd,13,1485,7901,21.66,27.42,uk,73.9
volunteer coordinator,manufacturing,increasing,low,64110.39,bachelor’s degree,8,4618,503,79.42,6.15,australia,46.97
sport and exercise psychologist,transportation,decreasing,moderate,34634.36,high school,9,1445,8431,39.76,0.15,canada,42.83
careers information officer,it,increasing,low,44616.29,master’s degree,0,8759,1961,21.95,78.18,usa,65.01
illustrator,entertainment,decreasing,moderate,109252.44,master’s degree,19,3532,2877,68.64,12.1,india,64.88
animal nutritionist,retail,decreasing,moderate,134551.61,phd,9,2006,1499,63.25,22.5,india,48.14
medical illustrator,retail,decreasing,moderate,50387.37,high school,7,9588,3110,54.35,78.2,china,54.6
marine scientist,healthcare,increasing,low,62145.09,bachelor’s degree,20,908,5230,53.9,29.02,usa,67.75
futures trader,finance,decreasing,low,65680.54,master’s degree,3,4224,8820,10.11,85.45,canada,49.52
"teacher, english as a foreign language",manufacturing,decreasing,moderate,68860.07,associate degree,5,1268,4689,85.42,0.96,brazil,45.28
occupational therapist,it,decreasing,high,73136.88,high school,14,4424,2717,0.5,31.59,germany,31.24
chief marketing officer,education,increasing,low,41908.92,phd,7,4748,4606,48.77,69.33,germany,69.85
geophysical data processor,transportation,decreasing,moderate,139500.27,phd,3,9702,8480,9.99,7.32,brazil,63.4
"nurse, learning disability",it,decreasing,high,62613.61,phd,17,243,6694,77.06,88.97,uk,32.52
"psychologist, occupational",entertainment,decreasing,low,120206.9,associate degree,15,9481,2028,19.19,20.33,australia,39.56
dentist,entertainment,decreasing,low,115182.65,master’s degree,14,2856,9310,6.38,14.4,germany,53.54
garment/textile technologist,manufacturing,increasing,low,81958.04,bachelor’s degree,20,4340,5232,98.37,46.01,india,61.1
editorial assistant,education,decreasing,low,71644.15,high school,4,3045,1378,81.55,3.23,china,25.9
"psychologist, forensic",it,decreasing,low,65452.56,bachelor’s degree,6,4803,5188,54.95,27.81,china,47.25
animal nutritionist,healthcare,increasing,high,120403.35,associate degree,10,1909,4486,6.5,3.78,china,46.43
information officer,entertainment,decreasing,high,63922.67,associate degree,8,3749,3871,23.78,45.19,india,27.49
chiropractor,retail,increasing,high,39063.23,master’s degree,16,7619,171,25.96,4.57,germany,29.78
"journalist, magazine",transportation,decreasing,low,87747.13,master’s degree,5,5541,8177,11.37,59.36,china,28.0
armed forces operational officer,retail,decreasing,high,32711.55,phd,2,4236,7478,33.88,32.53,uk,72.52
advertising copywriter,transportation,increasing,moderate,116905.6,phd,2,2185,4567,15.69,49.96,canada,60.74
it sales professional,education,increasing,low,131535.74,phd,14,9371,5079,37.31,9.83,australia,24.34
corporate investment banker,healthcare,increasing,moderate,56050.88,master’s degree,12,9185,7504,15.08,44.12,usa,49.53
transport planner,finance,increasing,moderate,43050.93,phd,4,3427,8781,12.68,55.56,germany,72.34
optometrist,healthcare,increasing,moderate,89305.37,associate degree,0,1614,9361,88.12,67.51,uk,45.37
financial planner,manufacturing,increasing,low,133185.53,phd,13,6299,4010,49.82,92.83,uk,42.36
"conservator, museum/gallery",healthcare,increasing,moderate,51527.99,master’s degree,20,7946,6972,77.38,99.61,uk,70.92
"nurse, learning disability",finance,increasing,low,74684.0,high school,9,271,7737,0.85,10.04,china,24.38
public affairs consultant,it,increasing,moderate,73645.29,master’s degree,2,7217,9462,90.12,19.41,india,73.35
"education officer, community",retail,increasing,moderate,32140.99,high school,1,9634,8178,20.35,20.01,germany,50.43
legal secretary,finance,decreasing,low,42449.41,master’s degree,10,4100,1600,37.96,42.63,australia,74.87
purchasing manager,transportation,decreasing,moderate,66231.58,phd,15,5653,1325,34.42,89.8,canada,38.19
"secretary, company",education,decreasing,low,133084.2,phd,14,9564,4801,29.58,28.42,china,73.46
commercial/residential surveyor,healthcare,decreasing,low,94934.48,bachelor’s degree,10,5678,7480,95.53,39.62,australia,40.99
chartered legal executive (england and wales),manufacturing,decreasing,high,139024.13,high school,13,6436,1219,78.76,10.96,brazil,25.5
technical brewer,entertainment,increasing,moderate,37612.64,phd,13,8669,1245,35.16,2.15,canada,41.47
medical physicist,retail,increasing,moderate,83524.45,master’s degree,19,8799,9420,17.1,37.49,brazil,22.31
"psychologist, educational",healthcare,increasing,low,75665.84,high school,1,6975,2558,63.71,78.49,uk,49.24
charity officer,healthcare,increasing,high,37239.94,bachelor’s degree,6,4187,271,41.98,8.25,india,31.71
research scientist (maths),healthcare,decreasing,low,118504.98,high school,18,4417,368,45.23,3.38,brazil,35.59
tax inspector,entertainment,decreasing,moderate,32369.54,bachelor’s degree,3,8426,6771,57.42,4.84,india,31.13
sales executive,education,decreasing,low,144257.7,phd,4,6096,4151,54.2,10.86,china,74.59
minerals surveyor,it,decreasing,moderate,121536.96,high school,16,6213,1081,34.91,5.01,usa,50.23
database administrator,it,increasing,moderate,117924.89,high school,16,3212,6242,33.65,85.71,australia,52.53
"surveyor, quantity",manufacturing,increasing,high,123017.67,phd,1,2378,6460,79.2,41.47,germany,26.5
management consultant,it,increasing,high,68891.87,high school,3,9585,1503,61.87,90.19,india,37.78
solicitor,entertainment,decreasing,low,115281.07,master’s degree,12,8567,8361,29.52,13.8,india,56.75
primary school teacher,transportation,decreasing,low,121615.39,associate degree,19,4887,8294,9.86,40.64,germany,76.15
ecologist,finance,increasing,low,53727.95,associate degree,8,9074,5422,96.1,24.72,germany,49.63
patent examiner,retail,decreasing,high,106521.39,high school,16,6378,2712,7.23,38.35,australia,24.4
press photographer,healthcare,decreasing,high,65746.05,associate degree,6,2408,4344,23.28,97.85,uk,38.17
television floor manager,transportation,decreasing,low,95073.76,master’s degree,14,8923,3341,57.45,31.6,canada,64.62
commercial horticulturist,retail,increasing,moderate,97817.37,high school,12,5959,8355,41.28,2.35,canada,24.33
mechanical engineer,transportation,decreasing,moderate,75698.43,associate degree,13,2752,9320,20.57,67.65,china,20.88
visual merchandiser,manufacturing,decreasing,low,138453.63,high school,0,4840,4836,24.04,48.45,india,30.05
"administrator, civil service",finance,increasing,high,99419.25,bachelor’s degree,19,2537,7227,7.68,32.85,canada,50.99
building services engineer,manufacturing,decreasing,low,106242.33,bachelor’s degree,7,8411,6111,20.71,90.0,usa,56.66
location manager,healthcare,decreasing,high,113191.35,high school,3,9029,3657,5.49,88.2,usa,68.54
museum education officer,entertainment,increasing,low,101664.45,phd,3,9037,7569,19.34,38.69,canada,69.28
osteopath,retail,decreasing,high,108839.99,master’s degree,11,8931,2724,66.68,8.43,china,29.22
commercial horticulturist,entertainment,decreasing,moderate,42504.06,master’s degree,19,8906,8585,43.02,49.58,brazil,58.73
fashion designer,it,decreasing,high,31264.17,high school,6,3894,6101,50.28,22.59,canada,31.9
water quality scientist,retail,increasing,high,120788.88,bachelor’s degree,12,5610,2951,4.67,19.99,usa,43.69
environmental manager,retail,increasing,low,85227.63,phd,20,9148,2747,26.01,59.23,india,79.13
police officer,retail,decreasing,high,95212.96,associate degree,9,2389,3293,2.11,10.77,usa,32.08
ambulance person,it,decreasing,high,94437.56,bachelor’s degree,4,1189,851,45.31,32.62,uk,27.28
"buyer, retail",entertainment,decreasing,moderate,60342.53,phd,8,1702,832,10.92,87.85,australia,33.02
energy engineer,manufacturing,decreasing,low,88002.93,master’s degree,19,2793,7768,71.61,25.62,canada,51.03
purchasing manager,healthcare,decreasing,high,33721.25,bachelor’s degree,19,6948,7085,47.39,22.51,uk,58.21
mechanical engineer,education,decreasing,high,143868.15,bachelor’s degree,9,6814,3364,8.47,69.43,canada,36.05
archaeologist,healthcare,increasing,high,36465.96,high school,9,4389,330,45.71,79.35,brazil,67.86
immunologist,finance,decreasing,low,40271.96,associate degree,18,4904,6402,50.66,62.57,germany,75.97
"psychotherapist, child",manufacturing,decreasing,low,48004.97,associate degree,7,1550,1620,28.78,43.14,usa,59.43
building control surveyor,manufacturing,decreasing,high,62623.89,associate degree,2,4898,6761,19.48,3.99,china,59.89
"journalist, broadcasting",retail,decreasing,high,107198.92,phd,15,5835,4565,98.8,19.74,australia,23.07
naval architect,transportation,decreasing,low,35935.22,phd,10,3435,3299,7.44,66.13,canada,52.06
"engineer, drilling",transportation,decreasing,low,143305.4,bachelor’s degree,17,3774,6970,12.72,78.79,australia,49.46
"biochemist, clinical",education,increasing,moderate,49212.71,phd,6,1761,5171,25.77,9.89,china,32.79
secondary school teacher,transportation,increasing,high,140595.33,high school,8,8929,2014,69.91,71.85,uk,25.17
housing manager/officer,retail,increasing,moderate,134926.99,phd,11,3581,6865,76.65,47.07,uk,69.32
occupational psychologist,manufacturing,increasing,high,89617.24,associate degree,15,6654,5831,34.17,77.19,canada,28.27
medical laboratory scientific officer,healthcare,decreasing,low,63437.39,associate degree,16,6159,3467,48.27,52.23,uk,77.24
sales promotion account executive,manufacturing,decreasing,low,69441.4,associate degree,7,1757,4842,24.3,82.93,germany,28.87
academic librarian,healthcare,decreasing,low,40729.43,bachelor’s degree,13,1417,9601,83.49,57.12,canada,55.18
location manager,entertainment,increasing,high,70819.63,master’s degree,18,1237,2490,51.1,3.81,china,74.93
"radiographer, diagnostic",entertainment,increasing,high,128467.07,bachelor’s degree,16,462,8424,44.83,65.12,usa,25.09
colour technologist,transportation,increasing,moderate,109565.66,phd,0,8303,5377,40.31,33.34,china,58.37
chartered certified accountant,it,increasing,moderate,83906.18,master’s degree,0,8130,2071,30.34,95.01,china,25.72
actuary,entertainment,increasing,moderate,62186.16,high school,19,182,8037,84.43,27.99,china,58.94
plant breeder/geneticist,education,decreasing,high,70067.45,master’s degree,20,946,8811,20.67,37.67,germany,33.83
barista,entertainment,increasing,high,142840.61,associate degree,11,5610,5451,9.41,20.33,brazil,51.32
colour technologist,manufacturing,decreasing,high,47354.0,high school,13,1709,4466,12.94,30.78,australia,79.56
building surveyor,transportation,increasing,high,77518.52,high school,10,4460,8869,23.62,27.6,india,64.87
"engineer, broadcasting (operations)",it,decreasing,moderate,80480.13,bachelor’s degree,0,2713,2476,25.81,76.13,uk,61.66
financial risk analyst,healthcare,decreasing,low,119977.32,master’s degree,19,2077,6177,71.61,52.02,australia,52.77
water engineer,manufacturing,increasing,low,147626.98,associate degree,1,8929,6002,2.99,15.25,china,60.43
hydrogeologist,retail,increasing,moderate,64224.88,associate degree,10,7976,8622,84.63,77.05,brazil,34.01
forest/woodland manager,finance,decreasing,high,105233.7,high school,9,3848,2546,38.61,1.73,china,70.52
legal executive,transportation,increasing,high,77252.58,high school,6,3967,859,23.43,52.45,china,25.53
sub,finance,decreasing,low,91900.06,high school,10,8303,7436,35.09,5.35,china,52.42
chiropodist,manufacturing,decreasing,moderate,51487.31,bachelor’s degree,12,1182,7504,17.15,22.21,brazil,21.96
"designer, jewellery",manufacturing,increasing,low,77453.27,bachelor’s degree,14,1357,8366,84.85,60.02,china,43.97
"librarian, academic",finance,increasing,low,90159.08,high school,13,5472,1666,57.17,70.32,brazil,24.85
emergency planning/management officer,it,increasing,high,66088.85,bachelor’s degree,1,4254,1114,55.31,93.76,uk,37.14
web designer,education,decreasing,low,144317.34,master’s degree,16,1551,1402,25.23,77.23,uk,71.83
educational psychologist,education,increasing,high,111204.78,master’s degree,7,6598,8325,4.92,44.61,usa,76.78
furniture designer,transportation,increasing,moderate,60226.26,phd,18,3136,7814,41.16,5.14,uk,32.81
